abd_l,abd_r,add_l,add_r,bifemsh_l,bifemsh_r,gastroc_l,glut_max_l,glut_max_r,hamstrings_l,hamstrings_r,iliopsoas_l,iliopsoas_r,rect_fem_l,rect_fem_r,soleus_l,tib_ant_l,vasti_l,vasti_r
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2877,NaN,NaN,NaN,0.2994,NaN,0.1918,0.2421,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2732,NaN,NaN,NaN,0.231,NaN,0.215,0.1943,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2593,NaN,NaN,NaN,0.1786,NaN,0.2388,0.1707,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2457,NaN,NaN,NaN,0.1438,NaN,0.2614,0.1605,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2328,NaN,NaN,NaN,0.124,NaN,0.2828,0.1563,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.221,NaN,NaN,NaN,0.115,NaN,0.3059,0.1537,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2108,NaN,NaN,NaN,0.1119,NaN,0.3352,0.1511,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.203,NaN,NaN,NaN,0.1115,NaN,0.3746,0.1483,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1978,NaN,NaN,NaN,0.112,NaN,0.425,0.1465,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1945,NaN,NaN,NaN,0.1128,NaN,0.4837,0.1471,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1916,NaN,NaN,NaN,0.1138,NaN,0.5444,0.1511,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1888,NaN,NaN,NaN,0.1151,NaN,0.5995,0.1583,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1861,NaN,NaN,NaN,0.1172,NaN,0.6413,0.1674,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1824,NaN,NaN,NaN,0.1205,NaN,0.6618,0.1761,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1757,NaN,NaN,NaN,0.1251,NaN,0.6534,0.1812,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1646,NaN,NaN,NaN,0.1305,NaN,0.611,0.1794,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1499,NaN,NaN,NaN,0.1353,NaN,0.5363,0.1693,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1345,NaN,NaN,NaN,0.1384,NaN,0.4389,0.1528,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1218,NaN,NaN,NaN,0.1413,NaN,0.3354,0.1366,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1138,NaN,NaN,NaN,0.1486,NaN,0.2419,0.1306,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1097,NaN,NaN,NaN,0.1661,NaN,0.1691,0.1469,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1066,NaN,NaN,NaN,0.1978,NaN,0.1202,0.1939,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.102,NaN,NaN,NaN,0.2425,NaN,0.0927,0.2705,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0956,NaN,NaN,NaN,0.2913,NaN,0.0809,0.3619,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0886,NaN,NaN,NaN,0.33,NaN,0.0775,0.4456,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0815,NaN,NaN,NaN,0.3465,NaN,0.0771,0.5034,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0751,NaN,NaN,NaN,0.3375,NaN,0.0768,0.5301,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0703,NaN,NaN,NaN,0.309,NaN,0.0759,0.5322,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0681,NaN,NaN,NaN,0.2718,NaN,0.0742,0.5182,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0687,NaN,NaN,NaN,0.236,NaN,0.0716,0.4924,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0711,NaN,NaN,NaN,0.2064,NaN,0.0679,0.4557,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0758,NaN,NaN,NaN,0.1824,NaN,0.0639,0.4083,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0862,NaN,NaN,NaN,0.1614,NaN,0.0607,0.3542,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1081,NaN,NaN,NaN,0.1421,NaN,0.0599,0.3013,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1477,NaN,NaN,NaN,0.1259,NaN,0.0635,0.2588,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2078,NaN,NaN,NaN,0.1152,NaN,0.0728,0.2336,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2855,NaN,NaN,NaN,0.1128,NaN,0.0884,0.228,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3711,NaN,NaN,NaN,0.1196,NaN,0.1088,0.2408,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4499,NaN,NaN,NaN,0.1354,NaN,0.1319,0.2693,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5056,NaN,NaN,NaN,0.1578,NaN,0.1551,0.311,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5266,NaN,NaN,NaN,0.1842,NaN,0.1758,0.3642,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5121,NaN,NaN,NaN,0.2132,NaN,0.1908,0.4252,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4731,NaN,NaN,NaN,0.2465,NaN,0.197,0.4853,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4253,NaN,NaN,NaN,0.2899,NaN,0.1931,0.5323,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3815,NaN,NaN,NaN,0.3478,NaN,0.1823,0.5561,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5479,NaN,NaN,NaN,0.3514,NaN,0.2438,0.5637,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4924,NaN,NaN,NaN,0.4013,NaN,0.2244,0.5794,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4436,NaN,NaN,NaN,0.4431,NaN,0.205,0.5731,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4049,NaN,NaN,NaN,0.4591,NaN,0.1896,0.5405,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3767,NaN,NaN,NaN,0.4392,NaN,0.1807,0.4833,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3572,NaN,NaN,NaN,0.3885,NaN,0.1802,0.4116,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3438,NaN,NaN,NaN,0.3234,NaN,0.1892,0.3405,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3346,NaN,NaN,NaN,0.261,NaN,0.2083,0.2825,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3288,NaN,NaN,NaN,0.2116,NaN,0.2373,0.242,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3262,NaN,NaN,NaN,0.178,NaN,0.2758,0.2168,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3263,NaN,NaN,NaN,0.1584,NaN,0.3229,0.2023,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3283,NaN,NaN,NaN,0.1492,NaN,0.3773,0.1954,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3304,NaN,NaN,NaN,0.1472,NaN,0.4375,0.1944,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3306,NaN,NaN,NaN,0.1502,NaN,0.5016,0.198,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3265,NaN,NaN,NaN,0.157,NaN,0.5673,0.2052,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3174,NaN,NaN,NaN,0.167,NaN,0.6312,0.2147,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3041,NaN,NaN,NaN,0.1787,NaN,0.6881,0.2257,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2878,NaN,NaN,NaN,0.1907,NaN,0.7314,0.2364,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2693,NaN,NaN,NaN,0.2014,NaN,0.7529,0.2442,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2483,NaN,NaN,NaN,0.2105,NaN,0.7456,0.2462,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2244,NaN,NaN,NaN,0.2175,NaN,0.7057,0.2407,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.199,NaN,NaN,NaN,0.2217,NaN,0.6349,0.2289,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1753,NaN,NaN,NaN,0.2227,NaN,0.5416,0.2154,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1566,NaN,NaN,NaN,0.2227,NaN,0.4385,0.2076,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1448,NaN,NaN,NaN,0.2277,NaN,0.3401,0.2147,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1395,NaN,NaN,NaN,0.2468,NaN,0.2578,0.2457,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1378,NaN,NaN,NaN,0.2881,NaN,0.1973,0.3057,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1362,NaN,NaN,NaN,0.3533,NaN,0.1584,0.3918,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1323,NaN,NaN,NaN,0.4331,NaN,0.137,0.4905,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1251,NaN,NaN,NaN,0.5098,NaN,0.1265,0.5815,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1156,NaN,NaN,NaN,0.5643,NaN,0.1211,0.646,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1057,NaN,NaN,NaN,0.5861,NaN,0.1168,0.6747,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.097,NaN,NaN,NaN,0.5764,NaN,0.1119,0.6699,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0907,NaN,NaN,NaN,0.5443,NaN,0.1064,0.6409,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.088,NaN,NaN,NaN,0.5006,NaN,0.1009,0.5968,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0904,NaN,NaN,NaN,0.4525,NaN,0.0956,0.543,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0999,NaN,NaN,NaN,0.4028,NaN,0.0912,0.483,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1195,NaN,NaN,NaN,0.3518,NaN,0.089,0.4207,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1526,NaN,NaN,NaN,0.3007,NaN,0.0908,0.3617,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2022,NaN,NaN,NaN,0.2526,NaN,0.0985,0.3126,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2694,NaN,NaN,NaN,0.2121,NaN,0.1138,0.2793,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3512,NaN,NaN,NaN,0.184,NaN,0.1372,0.2659,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4406,NaN,NaN,NaN,0.1713,NaN,0.1673,0.2727,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5273,NaN,NaN,NaN,0.1741,NaN,0.2008,0.2969,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5992,NaN,NaN,NaN,0.1901,NaN,0.2332,0.334,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6452,NaN,NaN,NaN,0.2149,NaN,0.2599,0.3792,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6587,NaN,NaN,NaN,0.2441,NaN,0.2777,0.4287,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6398,NaN,NaN,NaN,0.2756,NaN,0.2846,0.4779,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.596,NaN,NaN,NaN,0.3103,NaN,0.2798,0.5212,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5392,NaN,NaN,NaN,0.3517,NaN,0.2647,0.5524,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4821,NaN,NaN,NaN,0.4004,NaN,0.2434,0.5672,NaN,NaN
